iter	RMSE
0	5686.545505
1	5577.546562
2	5517.304334
3	5459.382449
4	5377.53456
5	5317.942184
6	5266.721692
7	5217.30904
8	5169.698324
9	5123.580421
10	5078.994882
11	5030.747913
12	4988.663246
13	4948.314809
14	4911.035905
15	4873.837055
16	4838.335782
17	4804.162599
18	4770.037366
19	4736.669606
20	4704.686004
21	4673.07285
22	4643.439373
23	4614.580416
24	4585.718277
25	4559.025133
26	4523.118035
27	4499.924242
28	4475.981751
29	4452.756611
30	4431.262103
31	4362.690511
32	4341.08386
33	4320.460076
34	4300.935849
35	4224.173291
36	4206.96459
37	4187.139352
38	4087.595851
39	4070.652829
40	4042.933076
41	4025.906937
42	4011.414984
43	3940.618282
44	3850.394417
45	3842.433534
46	3829.578254
47	3814.439866
48	3750.168522
49	3687.130766
50	3626.022649
51	3610.152384
52	3550.536698
53	3502.583182
54	3476.580283
55	3465.868122
56	3407.969928
57	3352.62194
58	3298.616747
59	3246.261714
60	3234.977125
61	3226.419251
62	3217.243995
63	3166.395847
64	3117.014186
65	3069.071427
66	3022.764203
67	2978.213776
68	2941.711136
69	2898.124198
70	2891.483082
71	2882.731528
72	2843.477871
73	2836.518642
74	2794.499156
75	2754.73782
76	2746.57385
77	2707.216831
78	2668.553088
79	2631.151413
80	2591.306624
81	2552.837614
82	2543.936592
83	2524.50764
84	2491.952313
85	2481.133832
86	2444.588129
87	2434.270591
88	2404.809769
89	2376.620279
90	2347.959602
91	2343.740139
92	2332.269254
93	2301.10756
94	2270.619519
95	2263.767289
96	2235.306982
97	2204.089261
98	2177.761054
99	2173.195546
100	2168.645838
101	2138.948536
102	2111.236716
103	2085.820282
104	2057.433072
105	2022.717
106	1994.946083
107	1991.268631
108	1973.279592
109	1966.944051
110	1947.205362
111	1923.950594
112	1897.612861
113	1874.082436
114	1854.500795
115	1851.827616
116	1815.655136
117	1789.131064
118	1769.821868
119	1764.158173
120	1747.79634
121	1728.562622
122	1710.330806
123	1695.313811
124	1676.893823
125	1666.917438
126	1661.480446
127	1642.44822
128	1622.541168
129	1609.250478
130	1598.091452
131	1582.631015
132	1575.302791
133	1555.110904
134	1538.14691
135	1528.809534
136	1515.010581
137	1495.136335
138	1478.86155
139	1464.812457
140	1457.399661
141	1442.633644
142	1435.934257
143	1427.460157
144	1415.603348
145	1401.103159
146	1390.833631
147	1383.67028
148	1379.122998
149	1373.688222
150	1365.085995
151	1359.163407
152	1348.962921
153	1327.855844
154	1325.881767
155	1319.180817
156	1313.453623
157	1300.55999
158	1288.107828
159	1279.967514
160	1278.220277
161	1269.77486
162	1261.169574
163	1249.620264
164	1241.379917
165	1235.700527
166	1227.335619
167	1220.50619
168	1210.380174
169	1193.899121
170	1184.366088
171	1174.179887
172	1165.451216
173	1159.00397
174	1150.757494
175	1137.45649
176	1127.650944
177	1121.335816
178	1112.379666
179	1104.576495
180	1097.271374
181	1096.039395
182	1093.598137
183	1081.31858
184	1076.162871
185	1063.844324
186	1062.781443
187	1058.51826
188	1049.522722
189	1048.569181
190	1041.108473
191	1037.492634
192	1035.563264
